scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_rejected_request,nb_station_requests,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
optimistic,150,multistation_rep,42,42,42,40,4,1440,624.929,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.8914,0.9121,150,0.3344,0.426,1372,1260,1260,0.9184,0.9184,4.788,430.901,3075.555,1525.976,638.77,0.013,3714.338,1636.917,1.0,75.414,1260,951,118,2,188,0,1,0.7548,0.0937,0.0016,0.1492,0.7556,0.0937,0.0905,0.0603,112,0.27,6569,5309,0,0,1803,8372,0.1647,0.1191,45363,32829,0.2763,1997.786,1,1,True
optimistic,150,bramev,42,42,42,40,4,1440,643.3,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.8904,0.9115,150,0.33,0.684,1377,1262,1262,0.9165,0.9165,4.775,446.179,3169.082,1633.553,653.668,0.015,3822.765,1737.743,1.0,77.301,1262,953,118,3,187,0,1,0.7552,0.0935,0.0024,0.1482,0.7559,0.0935,0.0903,0.0602,111,0.311,6575,5313,0,0,1834,8409,0.1646,0.1191,45352,32817,0.2764,1997.366,1,1,True
optimistic,200,greedy,42,42,42,40,4,1440,78.874,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.8121,0.8339,200,0.283,17.886,1885,1830,1830,0.9708,0.9708,0.971,163.687,163.687,185.331,77.317,0.009,241.012,217.042,1.0,50.758,1830,1367,174,36,252,1,0,0.747,0.0951,0.0197,0.1377,0.747,0.0956,0.0902,0.0672,129,3.926,1830,0,0,4,49,1879,0.2166,0.1556,58947,42275,0.2828,2621.226,1,0,True
optimistic,200,multistation,42,42,42,40,4,1440,2049.282,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.8903,0.91,200,0.3071,0.93,1717,1711,1711,0.9965,0.9965,6.126,4771.74,18582.712,2300.896,3046.88,0.016,21629.609,2536.523,1.0,238.992,1711,1275,165,7,261,1,2,0.7452,0.0964,0.0041,0.1525,0.7463,0.097,0.0912,0.0655,149,0.418,10518,8807,0,0,14,10532,0.2195,0.1574,60423,43171,0.2855,2690.018,1,1,True
optimistic,200,multistation_rep,42,42,42,40,4,1440,2041.126,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.8874,0.9091,200,0.3463,0.942,1802,1692,1692,0.939,0.939,4.795,4859.314,18323.537,2655.541,3107.844,0.012,21431.393,2879.148,1.0,224.924,1692,1268,160,3,259,1,1,0.7494,0.0946,0.0018,0.1531,0.75,0.0952,0.0904,0.0644,150,0.425,8641,6949,0,0,2322,10963,0.2177,0.156,60095,43018,0.2842,2674.651,2,1,True
optimistic,200,bramev,42,42,42,40,4,1440,2054.553,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.8864,0.9082,200,0.3477,1.164,1799,1689,1689,0.9389,0.9389,4.771,4884.358,18089.219,2429.974,3117.956,0.017,21207.193,2622.164,1.0,231.491,1689,1262,160,7,255,1,4,0.7472,0.0947,0.0041,0.151,0.7496,0.0953,0.0906,0.0645,146,0.452,8583,6894,0,0,2313,10896,0.2162,0.1548,59869,42850,0.2843,2663.7,2,1,True
optimistic,250,greedy,42,42,42,40,4,1440,97.2,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.7597,0.7809,250,0.2808,28.662,2550,2349,2349,0.9212,0.9212,0.921,174.962,174.962,179.589,104.461,0.011,279.434,222.86,1.0,52.122,2349,1768,221,83,271,3,3,0.7527,0.0941,0.0353,0.1154,0.7539,0.0954,0.0877,0.063,123,6.258,2349,0,0,6,192,2541,0.2601,0.1901,70626,51521,0.2705,3140.516,3,0,True
optimistic,250,multistation,42,42,42,40,4,1440,4893.763,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.8832,0.9029,250,0.3252,1.842,2125,2119,2119,0.9972,0.9972,6.145,12081.883,58167.957,2423.138,6214.905,0.015,64382.878,2559.977,1.0,415.163,2119,1595,205,8,307,2,2,0.7527,0.0967,0.0038,0.1449,0.7537,0.0977,0.0859,0.0628,174,0.632,13059,10940,0,1,23,13082,0.2704,0.1946,74801,53796,0.2808,3309.175,2,1,True
optimistic,250,multistation_rep,42,42,42,40,4,1440,4917.875,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.884,0.9074,250,0.3481,1.932,2199,2089,2089,0.95,0.95,4.857,12360.58,59675.253,2052.975,6332.274,0.012,66007.539,2196.664,1.0,410.588,2089,1575,200,8,299,2,5,0.7539,0.0957,0.0038,0.1431,0.7559,0.0967,0.0857,0.0618,170,0.631,10680,8591,0,1,2470,13150,0.2673,0.1928,74216,53547,0.2785,3285.55,3,1,True
optimistic,250,bramev,42,42,42,40,4,1440,4886.925,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.8822,0.9074,250,0.3571,2.166,2224,2101,2101,0.9447,0.9447,4.848,12241.959,58568.569,2418.295,6294.237,0.012,64862.818,2561.394,1.0,398.892,2101,1584,200,8,301,2,6,0.7539,0.0952,0.0038,0.1433,0.7563,0.0961,0.0857,0.0619,171,0.675,10781,8680,0,2,2634,13415,0.2696,0.1941,74558,53709,0.2796,3303.342,3,1,True
