kind,scenario,nb_cars,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
ladder,balance,250,exact_satisfaction,Satisfaction exacte,up,%,1,Recherche multi-stations,greedy,multistation,0.6427,0.7806,0.1379,21.4564,True
ladder,balance,250,needs_satisfaction,Besoins satisfaits,up,%,1,Recherche multi-stations,greedy,multistation,0.66,0.7964,0.1364,20.6667,True
ladder,balance,250,confirm_rate,Taux de confirmation,up,%,1,Recherche multi-stations,greedy,multistation,0.9054,0.9963,0.0909,10.0398,True
ladder,balance,250,mean_waiting_time_min,Attente moyenne,down,min,1,Recherche multi-stations,greedy,multistation,37.272,1.962,-35.31,-94.736,True
ladder,balance,250,mean_travel_distance_km,Distance moyenne,down,km,1,Recherche multi-stations,greedy,multistation,0.2838,0.3366,0.0528,18.6047,False
ladder,balance,250,rate_pres,Taux de présentation,up,%,1,Recherche multi-stations,greedy,multistation,0.598,0.5991,0.0011,0.1839,True
ladder,balance,250,rate_abs,Taux de no-show,down,%,1,Recherche multi-stations,greedy,multistation,0.194,0.1921,-0.0019,-0.9794,True
ladder,balance,250,nb_no_show,No-shows,down,,1,Recherche multi-stations,greedy,multistation,553.0,471.0,-82.0,-14.8282,True
ladder,balance,250,nb_reservations,Réservations confirmées,up,,1,Recherche multi-stations,greedy,multistation,2851.0,2452.0,-399.0,-13.9951,False
ladder,balance,250,mean_occupancy_rate,Taux d'occupation,up,%,1,Recherche multi-stations,greedy,multistation,0.3078,0.3193,0.0115,3.7362,True
ladder,balance,250,mean_service_rate,Taux de service,up,%,1,Recherche multi-stations,greedy,multistation,0.1759,0.1814,0.0055,3.1268,True
ladder,balance,250,slot_waste_rate,Slots réservés perdus,down,%,1,Recherche multi-stations,greedy,multistation,0.4295,0.4308,0.0013,0.3027,False
ladder,balance,250,nb_rejected_request,Demandes rejetées,down,,1,Recherche multi-stations,greedy,multistation,283.0,25.0,-258.0,-91.1661,True
ladder,balance,250,total_ms_mean,Latence bout-en-bout,down,ms,1,Recherche multi-stations,greedy,multistation,240.64,55194.903,54954.263,22836.7117,False
ladder,balance,250,wall_time_s,Temps de calcul,down,s,1,Recherche multi-stations,greedy,multistation,106.028,4918.64,4812.612,4539.001,False
ladder,balance,250,exact_satisfaction,Satisfaction exacte,up,%,2,Réputation,multistation,multistation_rep,0.7806,0.7774,-0.0032,-0.4099,False
ladder,balance,250,needs_satisfaction,Besoins satisfaits,up,%,2,Réputation,multistation,multistation_rep,0.7964,0.7979,0.0015,0.1883,True
ladder,balance,250,confirm_rate,Taux de confirmation,up,%,2,Réputation,multistation,multistation_rep,0.9963,0.8915,-0.1048,-10.5189,False
ladder,balance,250,mean_waiting_time_min,Attente moyenne,down,min,2,Réputation,multistation,multistation_rep,1.962,2.526,0.564,28.7462,False
ladder,balance,250,mean_travel_distance_km,Distance moyenne,down,km,2,Réputation,multistation,multistation_rep,0.3366,0.3952,0.0586,17.4094,False
ladder,balance,250,rate_pres,Taux de présentation,up,%,2,Réputation,multistation,multistation_rep,0.5991,0.5995,0.0004,0.0668,True
ladder,balance,250,rate_abs,Taux de no-show,down,%,2,Réputation,multistation,multistation_rep,0.1921,0.1937,0.0016,0.8329,False
ladder,balance,250,nb_no_show,No-shows,down,,2,Réputation,multistation,multistation_rep,471.0,471.0,0.0,0.0,False
ladder,balance,250,nb_reservations,Réservations confirmées,up,,2,Réputation,multistation,multistation_rep,2452.0,2432.0,-20.0,-0.8157,False
ladder,balance,250,mean_occupancy_rate,Taux d'occupation,up,%,2,Réputation,multistation,multistation_rep,0.3193,0.3203,0.001,0.3132,True
ladder,balance,250,mean_service_rate,Taux de service,up,%,2,Réputation,multistation,multistation_rep,0.1814,0.1817,0.0003,0.1654,True
ladder,balance,250,slot_waste_rate,Slots réservés perdus,down,%,2,Réputation,multistation,multistation_rep,0.4308,0.4334,0.0026,0.6035,False
ladder,balance,250,nb_rejected_request,Demandes rejetées,down,,2,Réputation,multistation,multistation_rep,25.0,5733.0,5708.0,22832.0,False
ladder,balance,250,total_ms_mean,Latence bout-en-bout,down,ms,2,Réputation,multistation,multistation_rep,55194.903,55490.994,296.091,0.5364,False
ladder,balance,250,wall_time_s,Temps de calcul,down,s,2,Réputation,multistation,multistation_rep,4918.64,4841.927,-76.713,-1.5596,True
ladder,balance,250,exact_satisfaction,Satisfaction exacte,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.7774,0.7809,0.0035,0.4502,True
ladder,balance,250,needs_satisfaction,Besoins satisfaits,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.7979,0.8003,0.0024,0.3008,True
ladder,balance,250,confirm_rate,Taux de confirmation,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.8915,0.8959,0.0044,0.4936,True
ladder,balance,250,mean_waiting_time_min,Attente moyenne,down,min,3,Adaptation entre stations,multistation_rep,bramev,2.526,1.824,-0.702,-27.791,True
ladder,balance,250,mean_travel_distance_km,Distance moyenne,down,km,3,Adaptation entre stations,multistation_rep,bramev,0.3952,0.4015,0.0063,1.5941,False
ladder,balance,250,rate_pres,Taux de présentation,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.5995,0.5984,-0.0011,-0.1835,False
ladder,balance,250,rate_abs,Taux de no-show,down,%,3,Adaptation entre stations,multistation_rep,bramev,0.1937,0.1926,-0.0011,-0.5679,True
ladder,balance,250,nb_no_show,No-shows,down,,3,Adaptation entre stations,multistation_rep,bramev,471.0,469.0,-2.0,-0.4246,True
ladder,balance,250,nb_reservations,Réservations confirmées,up,,3,Adaptation entre stations,multistation_rep,bramev,2432.0,2435.0,3.0,0.1234,True
ladder,balance,250,mean_occupancy_rate,Taux d'occupation,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.3203,0.3209,0.0006,0.1873,True
ladder,balance,250,mean_service_rate,Taux de service,up,%,3,Adaptation entre stations,multistation_rep,bramev,0.1817,0.1808,-0.0009,-0.4953,False
ladder,balance,250,slot_waste_rate,Slots réservés perdus,down,%,3,Adaptation entre stations,multistation_rep,bramev,0.4334,0.434,0.0006,0.1384,False
ladder,balance,250,nb_rejected_request,Demandes rejetées,down,,3,Adaptation entre stations,multistation_rep,bramev,5733.0,5758.0,25.0,0.4361,False
ladder,balance,250,total_ms_mean,Latence bout-en-bout,down,ms,3,Adaptation entre stations,multistation_rep,bramev,55490.994,56276.062,785.068,1.4148,False
ladder,balance,250,wall_time_s,Temps de calcul,down,s,3,Adaptation entre stations,multistation_rep,bramev,4841.927,4941.049,99.122,2.0472,False
ladder,balance,50,exact_satisfaction,Satisfaction exacte,up,%,1,Recherche multi-stations,greedy,multistation,0.7596,0.7597,0.0001,0.0132,True
ladder,balance,50,needs_satisfaction,Besoins satisfaits,up,%,1,Recherche multi-stations,greedy,multistation,0.7752,0.7752,0.0,0.0,False
ladder,balance,50,confirm_rate,Taux de confirmation,up,%,1,Recherche multi-stations,greedy,multistation,0.9958,0.9958,0.0,0.0,False
ladder,balance,50,mean_waiting_time_min,Attente moyenne,down,min,1,Recherche multi-stations,greedy,multistation,0.012,0.012,0.0,0.0,False
ladder,balance,50,mean_travel_distance_km,Distance moyenne,down,km,1,Recherche multi-stations,greedy,multistation,0.301,0.2996,-0.0014,-0.4651,True
ladder,balance,50,rate_pres,Taux de présentation,up,%,1,Recherche multi-stations,greedy,multistation,0.6004,0.6004,0.0,0.0,False
ladder,balance,50,rate_abs,Taux de no-show,down,%,1,Recherche multi-stations,greedy,multistation,0.182,0.182,0.0,0.0,False
ladder,balance,50,nb_no_show,No-shows,down,,1,Recherche multi-stations,greedy,multistation,87.0,87.0,0.0,0.0,False
