scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_station_level_rejections,nb_station_requests,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
pessimistic,20,greedy,42,42,42,12,3,288,2.161,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,0.925,41.075,41.075,97.225,3.526,0.01,44.611,122.824,1.0,29.479,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,62,0,0,0,18,80,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,multistation,42,42,42,12,3,288,4.763,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,50.567,95.004,341.418,6.447,0.013,101.464,403.515,1.0,24.02,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,multistation_rep,42,42,42,12,3,288,4.727,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,50.219,94.282,341.27,6.477,0.009,100.769,404.047,1.0,23.844,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,bramev,42,42,42,12,3,288,4.74,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,50.512,94.836,348.143,6.526,0.011,101.373,411.959,1.0,23.915,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,min_waiting,42,42,42,12,3,288,4.764,Minimum Waiting Time,baseline,True,False,False,waiting,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,50.953,95.503,348.369,6.542,0.01,102.054,412.148,1.0,24.02,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,load_aware,42,42,42,12,3,288,4.725,Load-Aware,baseline,True,False,False,load,sampled,society,duration,0.9089,0.9089,20,0.4157,0.0,67,62,62,0.9254,0.9254,1.761,50.425,94.881,351.573,6.531,0.009,101.421,415.315,1.0,23.814,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1292,0.0468,2082,785,0.623,83.65,0,0,True
pessimistic,20,random_feasible,42,42,42,12,3,288,4.839,Random Feasible,baseline,True,False,False,random,sampled,society,duration,0.9089,0.9089,20,0.5506,0.0,67,62,62,0.9254,0.9254,1.836,50.34,97.147,359.512,6.551,0.009,103.707,423.996,1.0,23.764,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,123,61,0,0,107,230,0.1279,0.0451,2081,784,0.6233,83.576,0,0,True
pessimistic,20,bramev_nearest_offer,42,42,42,12,3,288,4.777,BRAM-EV / offre la plus proche,variant,True,True,True,nearest,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,51.021,95.763,348.343,6.642,0.009,102.413,413.296,1.0,24.109,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,bramev_fixed_alpha,42,42,42,12,3,288,4.777,BRAM-EV / alpha fixe,variant,True,True,True,utility,fixed,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,50.979,95.793,349.0,6.569,0.009,102.371,413.458,1.0,24.111,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,bramev_global_rep,42,42,42,12,3,288,4.787,BRAM-EV / réputation globale,variant,True,True,True,utility,sampled,global,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,51.306,96.022,349.901,6.581,0.009,102.612,415.227,1.0,24.149,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,bramev_event_score,42,42,42,12,3,288,4.794,BRAM-EV / score par événement,variant,True,True,True,utility,sampled,society,event,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,51.238,96.195,352.137,6.612,0.009,102.816,417.594,1.0,24.196,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,40,greedy,42,42,42,12,3,288,4.419,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.8559,0.8586,40,0.4125,0.498,121,112,112,0.9256,0.9256,0.926,58.566,58.566,200.378,7.789,0.008,66.363,259.497,1.0,31.68,112,46,22,13,31,0,0,0.4107,0.1964,0.1161,0.2768,0.4107,0.1964,0.1518,0.2411,4,6.777,112,0,0,0,30,142,0.233,0.0971,3751,1590,0.5761,146.216,0,0,True
pessimistic,40,multistation,42,42,42,12,3,288,9.252,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.8545,0.8579,40,0.4099,0.504,121,111,111,0.9174,0.9174,1.843,66.944,126.522,409.166,11.426,0.009,137.958,456.108,1.0,30.402,111,45,22,13,31,0,0,0.4054,0.1982,0.1171,0.2793,0.4054,0.1982,0.1532,0.2432,4,6.748,223,112,0,0,178,401,0.2329,0.0971,3742,1582,0.5772,145.708,0,0,True
