kind,metric,metric_label,goal,unit,step,component,from_method,to_method,nb_worlds,mean_value_from,mean_value_to,mean_delta,mean_delta_pct,nb_improved,share_improved
ladder,nb_reservations,Réservations confirmées,up,,3,Adaptation entre stations,multistation_rep,bramev,2,87.0,87.0,0.0,0.0,0,0.0
ladder,mean_occupancy_rate,Taux d'occupation,up,%,3,Adaptation entre stations,multistation_rep,bramev,2,0.1823,0.1823,0.0,0.0,0,0.0
ladder,mean_service_rate,Taux de service,up,%,3,Adaptation entre stations,multistation_rep,bramev,2,0.07285,0.07285,0.0,0.0,0,0.0
ladder,slot_waste_rate,Slots réservés perdus,down,%,3,Adaptation entre stations,multistation_rep,bramev,2,0.6003,0.6003,0.0,0.0,0,0.0
ladder,nb_rejected_request,Demandes rejetées,down,,3,Adaptation entre stations,multistation_rep,bramev,2,126.5,126.5,0.0,0.0,0,0.0
ladder,total_ms_mean,Latence bout-en-bout,down,ms,3,Adaptation entre stations,multistation_rep,bramev,2,113.938,114.684,0.746,0.6295,0,0.0
ladder,wall_time_s,Temps de calcul,down,s,3,Adaptation entre stations,multistation_rep,bramev,2,6.713,6.7195,0.0065,0.1616,1,0.5
variant,exact_satisfaction,Satisfaction exacte,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,0.88185,0.88185,0.0,0.0,0,0.0
variant,needs_satisfaction,Besoins satisfaits,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,0.88345,0.88395,0.0005,0.0583,1,0.5
variant,confirm_rate,Taux de confirmation,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,0.92935,0.9214,-0.00795,-0.8518,0,0.0
variant,mean_waiting_time_min,Attente moyenne,down,min,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,0.249,0.336,0.087,34.9398,0,0.0
variant,mean_travel_distance_km,Distance moyenne,down,km,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,0.403,0.4028,-0.0002,-0.0488,1,0.5
variant,rate_pres,Taux de présentation,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,0.39085,0.3882,-0.00265,-0.6452,0,0.0
variant,rate_abs,Taux de no-show,down,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,0.1708,0.1717,0.0009,0.4582,0,0.0
variant,nb_no_show,No-shows,down,,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,15.5,15.5,0.0,0.0,0,0.0
variant,nb_reservations,Réservations confirmées,up,,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,87.0,86.5,-0.5,-0.4465,0,0.0
variant,mean_occupancy_rate,Taux d'occupation,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,0.1823,0.18225,-5e-05,-0.0215,0,0.0
variant,mean_service_rate,Taux de service,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,0.07285,0.0728,-5e-05,-0.0515,0,0.0
variant,slot_waste_rate,Slots réservés perdus,down,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,0.6003,0.60035,5e-05,0.0086,0,0.0
variant,nb_rejected_request,Demandes rejetées,down,,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,126.5,146.0,19.5,14.0288,0,0.0
variant,total_ms_mean,Latence bout-en-bout,down,ms,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,114.684,116.0485,1.3645,1.0776,0,0.0
variant,wall_time_s,Temps de calcul,down,s,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,2,6.7195,6.7885,0.069,0.7371,1,0.5
variant,exact_satisfaction,Satisfaction exacte,up,%,0,Réputation par société,bramev,bramev_global_rep,2,0.88185,0.88165,-0.0002,-0.0234,0,0.0
variant,needs_satisfaction,Besoins satisfaits,up,%,0,Réputation par société,bramev,bramev_global_rep,2,0.88345,0.88325,-0.0002,-0.0233,0,0.0
variant,confirm_rate,Taux de confirmation,up,%,0,Réputation par société,bramev,bramev_global_rep,2,0.92935,0.92935,0.0,0.0,0,0.0
variant,mean_waiting_time_min,Attente moyenne,down,min,0,Réputation par société,bramev,bramev_global_rep,2,0.249,0.279,0.03,12.0482,0,0.0
variant,mean_travel_distance_km,Distance moyenne,down,km,0,Réputation par société,bramev,bramev_global_rep,2,0.403,0.403,0.0,0.0,0,0.0
variant,rate_pres,Taux de présentation,up,%,0,Réputation par société,bramev,bramev_global_rep,2,0.39085,0.39085,0.0,0.0,0,0.0
variant,rate_abs,Taux de no-show,down,%,0,Réputation par société,bramev,bramev_global_rep,2,0.1708,0.1708,0.0,0.0,0,0.0
variant,nb_no_show,No-shows,down,,0,Réputation par société,bramev,bramev_global_rep,2,15.5,15.5,0.0,0.0,0,0.0
variant,nb_reservations,Réservations confirmées,up,,0,Réputation par société,bramev,bramev_global_rep,2,87.0,87.0,0.0,0.0,0,0.0
variant,mean_occupancy_rate,Taux d'occupation,up,%,0,Réputation par société,bramev,bramev_global_rep,2,0.1823,0.1823,0.0,0.0,0,0.0
