scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_rejected_request,nb_station_requests,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
pessimistic,20,greedy,42,42,42,12,3,288,2.15,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,0.925,41.195,41.195,95.534,3.526,0.011,44.731,122.849,1.0,29.668,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,62,0,0,0,18,80,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,multistation,42,42,42,12,3,288,4.582,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,48.666,91.322,329.29,6.275,0.011,97.607,390.812,1.0,23.125,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,multistation_rep,42,42,42,12,3,288,4.612,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,49.179,92.192,332.078,6.315,0.01,98.516,394.793,1.0,23.267,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,bramev,42,42,42,12,3,288,4.629,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,49.327,92.571,333.614,6.37,0.011,98.952,395.5,1.0,23.343,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,bramev_nearest_offer,42,42,42,12,3,288,4.612,BRAM-EV / offre la plus proche,variant,True,True,True,nearest,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,48.975,92.059,331.09,6.309,0.008,98.377,392.339,1.0,23.284,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,bramev_fixed_alpha,42,42,42,12,3,288,4.62,BRAM-EV / alpha fixe,variant,True,True,True,utility,fixed,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,49.51,92.863,341.3,6.338,0.009,99.209,405.123,1.0,23.317,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,bramev_global_rep,42,42,42,12,3,288,4.634,BRAM-EV / réputation globale,variant,True,True,True,utility,sampled,global,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,49.959,93.206,339.181,6.368,0.009,99.583,402.839,1.0,23.38,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,bramev_event_score,42,42,42,12,3,288,4.687,BRAM-EV / score par événement,variant,True,True,True,utility,sampled,society,event,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,50.061,93.98,339.604,6.505,0.01,100.495,403.068,1.0,23.664,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,40,greedy,42,42,42,12,3,288,4.35,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.8559,0.8586,40,0.4125,0.498,121,112,112,0.9256,0.9256,0.926,57.934,57.934,200.483,7.844,0.009,65.787,261.445,1.0,31.215,112,46,22,13,31,0,0,0.4107,0.1964,0.1161,0.2768,0.4107,0.1964,0.1518,0.2411,4,6.777,112,0,0,0,30,142,0.233,0.0971,3751,1590,0.5761,146.216,0,0,True
pessimistic,40,multistation,42,42,42,12,3,288,8.99,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.8545,0.8579,40,0.4099,0.504,121,111,111,0.9174,0.9174,1.843,65.01,122.989,400.333,11.128,0.009,134.126,443.455,1.0,29.522,111,45,22,13,31,0,0,0.4054,0.1982,0.1171,0.2793,0.4054,0.1982,0.1532,0.2432,4,6.748,223,112,0,0,178,401,0.2329,0.0971,3742,1582,0.5772,145.708,0,0,True
