scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,occupancy_rate,demand_kwh
balance,150,greedy,42,42,42,0,1,5,0.291,202,2,200,0,0,0,200,117,35,6,41,1,0,0.0,268.292
balance,150,greedy,42,42,42,1,2,5,0.2613,4,0,4,0,0,0,4,3,1,0,0,0,0,0.0,6.767
balance,150,greedy,42,42,42,2,1,5,0.7392,7,0,7,0,0,0,7,4,1,0,2,0,0,0.0,9.092
balance,150,greedy,42,42,42,3,1,5,0.8901,55,0,55,0,0,0,55,34,9,0,12,0,0,0.0,81.092
balance,150,greedy,42,42,42,4,3,5,0.1427,160,0,160,0,0,0,160,86,37,6,29,2,0,0.0,204.533
balance,150,greedy,42,42,42,5,1,4,0.2198,21,0,21,0,0,0,21,15,4,0,2,0,0,0.0,26.5
balance,150,greedy,42,42,42,6,0,6,0.7086,6,0,6,0,0,0,6,5,0,0,1,0,0,0.0,9.5
balance,150,greedy,42,42,42,7,1,6,0.5708,10,0,10,0,0,0,10,6,1,0,3,0,0,0.0,16.567
balance,150,greedy,42,42,42,8,0,5,0.808,3,0,3,0,0,0,3,1,1,0,1,0,0,0.0,2.5
balance,150,greedy,42,42,42,9,2,4,0.4875,40,0,40,0,0,0,40,22,10,0,8,0,0,0.0,53.4
balance,150,greedy,42,42,42,10,0,5,0.3053,38,0,38,0,0,0,38,28,4,0,6,0,0,0.0,57.975
balance,150,greedy,42,42,42,11,0,4,0.2502,197,14,183,0,0,0,183,115,30,10,24,4,0,0.0,236.042
balance,150,greedy,42,42,42,12,3,6,0.3167,8,0,8,0,0,0,8,6,1,0,1,0,0,0.0,12.383
balance,150,greedy,42,42,42,13,3,4,0.8089,59,0,59,0,0,0,59,33,12,0,14,0,0,0.0,84.883
balance,150,greedy,42,42,42,14,3,4,0.6168,38,0,38,0,0,0,38,25,5,0,7,1,0,0.0,55.225
balance,150,greedy,42,42,42,15,0,5,0.5092,55,0,55,0,0,0,55,33,6,0,15,1,0,0.0,86.417
balance,150,greedy,42,42,42,16,2,6,0.5233,4,0,4,0,0,0,4,2,1,0,1,0,0,0.0,4.575
balance,150,greedy,42,42,42,17,2,4,0.8252,2,0,2,0,0,0,2,0,1,0,1,0,0,0.0,1.292
balance,150,greedy,42,42,42,18,2,5,0.8535,33,0,33,0,0,0,33,19,8,0,6,0,0,0.0,40.9
balance,150,greedy,42,42,42,19,3,6,0.7576,9,0,9,0,0,0,9,6,3,0,0,0,0,0.0,10.075
balance,150,greedy,42,42,42,20,2,4,0.4983,5,0,5,0,0,0,5,3,1,0,1,0,0,0.0,7.792
balance,150,greedy,42,42,42,21,2,6,0.8027,6,0,6,0,0,0,6,3,1,0,1,0,1,0.0,7.217
balance,150,greedy,42,42,42,22,2,4,0.549,42,0,42,0,0,0,42,29,10,0,3,0,0,0.0,61.958
balance,150,greedy,42,42,42,23,0,4,0.1812,27,0,27,0,0,0,27,17,6,0,4,0,0,0.0,35.3
balance,150,greedy,42,42,42,24,1,4,0.899,1,0,1,0,0,0,1,1,0,0,0,0,0,0.0,1.533
balance,150,greedy,42,42,42,25,2,6,0.6409,39,0,39,0,0,0,39,20,9,0,7,3,0,0.0,51.817
balance,150,greedy,42,42,42,26,3,5,0.1612,205,6,199,0,0,0,199,124,39,5,30,1,0,0.0,251.267
balance,150,greedy,42,42,42,27,2,4,0.399,17,0,17,0,0,0,17,11,4,0,2,0,0,0.0,20.308
balance,150,greedy,42,42,42,28,3,4,0.8962,46,0,46,0,0,0,46,27,8,0,11,0,0,0.0,67.042
balance,150,greedy,42,42,42,29,3,5,0.2195,43,0,43,0,0,0,43,20,14,0,9,0,0,0.0,55.592
balance,150,greedy,42,42,42,30,1,6,0.1037,25,0,25,0,0,0,25,13,8,0,4,0,0,0.0,34.492
balance,150,greedy,42,42,42,31,2,5,0.4794,28,0,28,0,0,0,28,20,6,0,2,0,0,0.0,40.5
balance,150,greedy,42,42,42,32,0,5,0.2756,19,0,19,0,0,0,19,13,2,0,4,0,0,0.0,27.0
balance,150,greedy,42,42,42,33,1,4,0.6703,7,0,7,0,0,0,7,3,1,0,3,0,0,0.0,11.325
balance,150,greedy,42,42,42,34,0,5,0.3553,2,0,2,0,0,0,2,1,1,0,0,0,0,0.0,1.267
balance,150,greedy,42,42,42,35,0,6,0.6129,15,0,15,0,0,0,15,10,2,0,3,0,0,0.0,22.408
balance,150,greedy,42,42,42,36,3,6,0.4159,19,0,19,0,0,0,19,12,3,0,3,1,0,0.0,26.792
balance,150,greedy,42,42,42,37,0,4,0.6312,5,0,5,0,0,0,5,4,0,0,1,0,0,0.0,9.358
balance,150,greedy,42,42,42,38,3,6,0.7902,12,0,12,0,0,0,12,6,3,0,3,0,0,0.0,14.775
balance,150,greedy,42,42,42,39,1,6,0.6455,15,0,15,0,0,0,15,8,3,0,3,1,0,0.0,19.25
