scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_rejected_request,nb_station_requests,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
pessimistic,20,greedy,42,42,42,12,3,288,2.239,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,0.925,42.838,42.838,100.326,3.652,0.011,46.501,140.723,1.0,30.445,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,62,0,0,0,18,80,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,multistation,42,42,42,12,3,288,4.834,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,51.596,96.899,350.667,6.619,0.01,103.529,417.163,1.0,24.384,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,multistation_rep,42,42,42,12,3,288,18.765,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.8164,0.8164,20,0.8465,0.0,181,47,47,0.2597,0.2597,0.497,106.857,147.676,417.163,13.141,0.014,160.831,443.988,1.0,8.474,47,20,5,6,16,0,0,0.4255,0.1064,0.1277,0.3404,0.4255,0.1064,0.2128,0.2553,4,6.489,90,43,0,0,4347,4437,0.0956,0.0413,1511,670,0.5566,63.316,0,0,True
pessimistic,20,bramev,42,42,42,12,3,288,18.824,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.8164,0.8164,20,0.8465,0.0,181,47,47,0.2597,0.2597,0.497,107.465,148.788,418.751,13.199,0.015,162.002,447.033,1.0,8.5,47,20,5,6,16,0,0,0.4255,0.1064,0.1277,0.3404,0.4255,0.1064,0.2128,0.2553,4,6.489,90,43,0,0,4347,4437,0.0956,0.0413,1511,670,0.5566,63.316,0,0,True
pessimistic,20,bramev_nearest_offer,42,42,42,12,3,288,18.957,BRAM-EV / offre la plus proche,variant,True,True,True,nearest,sampled,society,duration,0.8164,0.8164,20,0.8465,0.0,181,47,47,0.2597,0.2597,0.497,108.42,150.19,424.675,13.341,0.014,163.545,449.478,1.0,8.56,47,20,5,6,16,0,0,0.4255,0.1064,0.1277,0.3404,0.4255,0.1064,0.2128,0.2553,4,6.489,90,43,0,0,4347,4437,0.0956,0.0413,1511,670,0.5566,63.316,0,0,True
pessimistic,20,bramev_fixed_alpha,42,42,42,12,3,288,19.404,BRAM-EV / alpha fixe,variant,True,True,True,utility,fixed,society,duration,0.8168,0.8168,20,1.011,0.0,181,47,47,0.2597,0.2597,0.53,122.128,175.254,487.004,13.909,0.015,189.178,504.15,1.0,8.649,47,20,5,6,16,0,0,0.4255,0.1064,0.1277,0.3404,0.4255,0.1064,0.2128,0.2553,4,6.489,96,49,0,0,4398,4494,0.0963,0.0422,1509,670,0.556,63.316,0,0,True
pessimistic,20,bramev_global_rep,42,42,42,12,3,288,48.349,BRAM-EV / réputation globale,variant,True,True,True,utility,sampled,global,duration,0.5555,0.5555,20,0.5081,0.0,447,29,29,0.0649,0.0649,0.123,135.796,193.128,425.981,42.23,0.018,235.377,466.742,1.0,15.112,29,10,5,4,10,0,0,0.3448,0.1724,0.1379,0.3448,0.3448,0.1724,0.2414,0.2414,3,5.621,55,26,0,0,13658,13713,0.0594,0.0219,931,365,0.6079,37.283,0,0,True
pessimistic,20,bramev_event_score,42,42,42,12,3,288,4.604,BRAM-EV / score par événement,variant,True,True,True,utility,sampled,society,event,0.9083,0.9083,20,0.494,0.0,67,62,62,0.9254,0.9254,1.731,54.229,89.501,333.668,7.477,0.011,96.989,342.494,1.0,20.448,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,116,54,0,0,147,263,0.1299,0.0482,2079,784,0.6229,83.515,0,0,True
pessimistic,40,greedy,42,42,42,12,3,288,4.486,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.8559,0.8586,40,0.4125,0.498,121,112,112,0.9256,0.9256,0.926,59.467,59.467,200.832,7.902,0.008,67.377,260.863,1.0,32.174,112,46,22,13,31,0,0,0.4107,0.1964,0.1161,0.2768,0.4107,0.1964,0.1518,0.2411,4,6.777,112,0,0,0,30,142,0.233,0.0971,3751,1590,0.5761,146.216,0,0,True
pessimistic,40,multistation,42,42,42,12,3,288,9.39,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.8545,0.8579,40,0.4099,0.504,121,111,111,0.9174,0.9174,1.843,68.264,128.702,416.701,11.597,0.009,140.309,462.031,1.0,30.841,111,45,22,13,31,0,0,0.4054,0.1982,0.1171,0.2793,0.4054,0.1982,0.1532,0.2432,4,6.748,223,112,0,0,178,401,0.2329,0.0971,3742,1582,0.5772,145.708,0,0,True
pessimistic,40,multistation_rep,42,42,42,12,3,288,27.679,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.7979,0.7997,40,0.7514,0.384,278,95,95,0.3417,0.3417,0.644,123.851,191.19,602.322,30.838,0.013,222.041,609.273,1.0,10.786,95,42,17,11,25,0,0,0.4421,0.1789,0.1158,0.2632,0.4421,0.1789,0.1579,0.2211,4,6.832,179,84,0,0,6017,6196,0.1944,0.0882,3096,1432,0.5375,123.69,0,0,True
pessimistic,40,bramev,42,42,42,12,3,288,28.066,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.7979,0.7997,40,0.7514,0.384,278,95,95,0.3417,0.3417,0.644,125.929,195.952,602.25,30.979,0.013,226.944,609.085,1.0,10.936,95,42,17,11,25,0,0,0.4421,0.1789,0.1158,0.2632,0.4421,0.1789,0.1579,0.2211,4,6.832,179,84,0,0,6017,6196,0.1944,0.0882,3096,1432,0.5375,123.69,0,0,True
pessimistic,40,bramev_nearest_offer,42,42,42,12,3,288,27.772,BRAM-EV / offre la plus proche,variant,True,True,True,nearest,sampled,society,duration,0.7971,0.799,40,0.7294,0.45,278,95,95,0.3417,0.3417,0.644,122.513,192.386,607.564,29.902,0.013,222.301,615.018,1.0,10.868,95,42,17,11,25,0,0,0.4421,0.1789,0.1158,0.2632,0.4421,0.1789,0.1579,0.2211,4,6.842,179,84,0,0,5966,6145,0.1938,0.0881,3095,1431,0.5376,123.631,0,0,True
pessimistic,40,bramev_fixed_alpha,42,42,42,12,3,288,28.067,BRAM-EV / alpha fixe,variant,True,True,True,utility,fixed,society,duration,0.7985,0.7997,40,0.8393,0.318,278,95,95,0.3417,0.3417,0.644,133.892,199.857,598.991,32.069,0.014,231.94,623.228,1.0,10.814,95,42,17,11,25,0,0,0.4421,0.1789,0.1158,0.2632,0.4421,0.1789,0.1579,0.2211,4,6.821,179,84,0,0,6067,6246,0.195,0.0891,3092,1432,0.5369,123.69,0,0,True
pessimistic,40,bramev_global_rep,42,42,42,12,3,288,95.27,BRAM-EV / réputation globale,variant,True,True,True,utility,sampled,global,duration,0.5136,0.5149,40,0.4839,0.21,922,58,58,0.0629,0.0629,0.124,222.727,359.558,1019.414,85.856,0.021,445.435,1035.302,1.0,28.336,58,22,11,7,18,0,0,0.3793,0.1897,0.1207,0.3103,0.3793,0.1897,0.1724,0.2586,3,6.534,114,56,0,0,28292,28406,0.1183,0.0465,1894,772,0.5924,74.825,0,0,True
pessimistic,40,bramev_event_score,42,42,42,12,3,288,8.515,BRAM-EV / score par événement,variant,True,True,True,utility,sampled,society,event,0.857,0.8594,40,0.4998,0.552,120,113,113,0.9417,0.9417,1.817,63.645,113.096,416.872,14.559,0.012,127.666,441.713,1.0,24.704,113,47,22,14,30,0,0,0.4159,0.1947,0.1239,0.2655,0.4159,0.1947,0.1504,0.2389,3,6.761,218,105,0,0,199,417,0.2306,0.0959,3744,1589,0.5756,146.09,0,0,True
