scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_rejected_request,nb_station_requests,mean_occupancy_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
balance,150,greedy,42,42,42,40,4,1440,61.97,0.7458,0.763,150,0.2864,9.534,1535,1507,1507,0.9818,0.9818,0.982,73.715,73.715,185.776,28.071,0.008,101.795,221.914,1.0,47.298,1507,905,291,27,268,15,1,0.6005,0.1931,0.0179,0.1778,0.6012,0.2031,0.1214,0.0743,156,2.286,1507,0,0,0,22,1529,0.0,2035.003,15,0,True
balance,150,bramev,42,42,42,40,4,1440,644.662,0.7831,0.8001,150,0.3749,0.582,1605,1465,1465,0.9128,0.9128,3.974,428.264,2756.96,1555.311,592.451,0.013,3349.424,1664.221,1.0,69.351,1465,885,282,3,284,11,0,0.6041,0.1925,0.002,0.1939,0.6041,0.2,0.1215,0.0744,175,0.278,6379,4914,0,0,3270,9649,0.0,2079.934,14,1,True
balance,200,greedy,42,42,42,40,4,1440,94.057,0.6992,0.7167,200,0.2841,21.792,2256,2137,2137,0.9473,0.9473,0.947,162.522,162.522,194.157,70.215,0.007,232.744,219.434,1.0,51.083,2137,1265,408,79,363,21,1,0.592,0.1909,0.037,0.1699,0.5924,0.2007,0.124,0.0828,186,4.824,2137,0,0,5,111,2248,0.0,2714.558,22,0,True
balance,200,bramev,42,42,42,40,4,1440,1998.62,0.775,0.7925,200,0.3816,1.314,2265,1961,1961,0.8658,0.8658,3.738,4223.408,15479.788,1971.636,2712.567,0.011,18192.367,2175.506,1.0,183.28,1961,1164,382,6,391,16,2,0.5936,0.1948,0.0031,0.1994,0.5941,0.203,0.1224,0.0806,234,0.525,8466,6505,0,0,5072,13538,0.0,2775.781,22,1,True
balance,250,greedy,42,42,42,40,4,1440,104.855,0.6427,0.66,250,0.2838,37.272,3149,2851,2851,0.9054,0.9054,0.905,148.297,148.297,202.069,90.461,0.007,238.764,266.969,1.0,48.483,2851,1705,553,145,421,22,5,0.598,0.194,0.0509,0.1477,0.5994,0.2017,0.1193,0.0796,195,7.967,2851,0,0,8,283,3134,0.0,3273.533,23,0,True
balance,250,bramev,42,42,42,40,4,1440,4877.229,0.7809,0.8003,250,0.4015,1.824,2718,2435,2435,0.8959,0.8959,3.89,10584.253,50225.886,2273.553,5459.929,0.011,55685.827,2519.64,1.0,339.954,2435,1457,469,20,467,20,2,0.5984,0.1926,0.0082,0.1918,0.5992,0.2008,0.1191,0.0809,270,0.648,10573,8138,0,1,5758,16331,0.0,3461.132,24,1,True
pessimistic,50,greedy,42,42,42,40,4,1440,31.006,0.795,0.8095,50,0.286,0.876,685,681,681,0.9942,0.9942,0.994,59.464,59.464,150.701,11.67,0.008,71.142,187.805,1.0,46.95,681,300,139,5,233,4,0,0.4405,0.2041,0.0073,0.3421,0.4405,0.21,0.1424,0.207,92,0.275,681,0,0,0,0,681,0.0,963.175,4,1,True
pessimistic,50,bramev,42,42,42,40,4,1440,196.671,0.7012,0.7142,50,0.4349,0.066,1430,565,565,0.3951,0.3951,1.431,125.215,391.709,1035.553,48.022,0.016,439.747,1132.559,1.0,27.478,565,249,117,0,196,3,0,0.4407,0.2071,,0.3469,0.4407,0.2124,0.1416,0.2053,80,0.076,2046,1481,0,0,6059,8105,0.0,794.35,16,2,True
pessimistic,100,greedy,42,42,42,40,4,1440,56.983,0.7383,0.7515,100,0.2825,6.81,1332,1318,1318,0.9895,0.9895,0.989,67.219,67.219,185.646,19.5,0.008,86.728,214.302,1.0,51.938,1318,554,286,27,434,17,0,0.4203,0.217,0.0205,0.3293,0.4203,0.2299,0.1426,0.2071,161,1.68,1318,0,0,2,9,1327,0.0,1781.886,17,0,True
pessimistic,100,bramev,42,42,42,40,4,1440,399.255,0.6967,0.7088,100,0.4371,0.132,2530,1107,1107,0.4375,0.4375,1.509,156.174,733.517,1160.595,228.72,0.015,962.252,1317.093,1.0,32.511,1107,468,241,1,384,12,1,0.4228,0.2177,0.0009,0.3469,0.4237,0.2285,0.1463,0.2014,161,0.136,3818,2711,0,0,10425,14243,0.0,1551.381,34,1,True
pessimistic,150,greedy,42,42,42,40,4,1440,81.483,0.6875,0.7016,150,0.2842,15.738,2090,2016,2016,0.9646,0.9646,0.965,77.9,77.9,223.389,32.906,0.007,110.813,297.671,1.0,47.94,2016,832,447,69,634,30,4,0.4127,0.2217,0.0342,0.3145,0.4142,0.2366,0.1463,0.2029,226,3.551,2016,0,0,1,68,2084,0.0,2581.593,32,0,True
pessimistic,150,bramev,42,42,42,40,4,1440,731.97,0.6718,0.6837,150,0.4331,0.516,3943,1635,1635,0.4147,0.4147,1.429,431.719,2461.416,1376.984,567.442,0.013,3028.871,1601.301,1.0,40.217,1635,679,369,3,560,21,3,0.4153,0.2257,0.0018,0.3425,0.4171,0.2385,0.145,0.1994,234,0.256,5634,3999,0,0,16711,22345,0.0,2241.16,59,1,True
pessimistic,200,greedy,42,42,42,40,4,1440,110.814,0.6483,0.6626,200,0.2828,26.73,2903,2779,2779,0.9573,0.9573,0.957,135.71,135.71,204.003,69.839,0.006,205.555,272.101,1.0,51.008,2779,1153,620,139,823,40,4,0.4149,0.2231,0.05,0.2961,0.4156,0.2375,0.145,0.2019,263,5.728,2779,0,0,7,107,2886,0.0,3364.284,41,0,True
pessimistic,200,bramev,42,42,42,40,4,1440,2131.865,0.6712,0.684,200,0.441,0.984,5746,2184,2184,0.3801,0.3801,1.337,3851.35,13860.568,1809.673,2495.824,0.013,16356.406,1993.595,1.0,99.611,2184,897,495,7,762,22,1,0.4107,0.2266,0.0032,0.3489,0.4107,0.2367,0.147,0.2056,314,0.362,7684,5500,0,0,25419,33103,0.0,3050.008,73,1,True
pessimistic,250,greedy,42,42,42,40,4,1440,130.937,0.6012,0.615,250,0.2808,40.368,4092,3703,3703,0.9049,0.9049,0.905,134.984,134.984,204.952,86.089,0.006,221.079,265.781,1.0,46.338,3703,1545,830,248,1022,52,6,0.4172,0.2241,0.067,0.276,0.4188,0.2382,0.1453,0.1977,290,8.445,3703,0,0,18,370,4073,0.0,4061.015,54,0,True
pessimistic,250,bramev,42,42,42,40,4,1440,5016.593,0.6712,0.686,250,0.4434,2.76,6826,2681,2681,0.3928,0.3928,1.393,9635.858,45516.271,2317.482,5025.191,0.013,50541.475,2592.472,1.0,188.171,2681,1116,606,26,900,32,1,0.4163,0.226,0.0097,0.3357,0.4166,0.238,0.1466,0.1988,367,0.757,9511,6830,0,2,29172,38683,0.0,3719.866,92,1,True
