kind,metric,metric_label,goal,unit,step,component,from_method,to_method,nb_worlds,mean_value_from,mean_value_to,mean_delta,mean_delta_pct,nb_improved,share_improved
ladder,rate_abs,No-show rate,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.219067,0.2196,0.000533,0.2241,0,0.0
ladder,nb_no_show,No-shows,down,,3,Cross-station adaptation,multistation_rep,bramev,3,94.0,94.666667,0.666667,0.6233,1,0.3333
ladder,nb_reservations,Confirmed reservations,up,,3,Cross-station adaptation,multistation_rep,bramev,3,430.0,431.666667,1.666667,0.3939,2,0.6667
ladder,mean_occupancy_rate,Occupancy rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.8235,0.826033,0.002533,0.3834,2,0.6667
ladder,mean_service_rate,Service rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.3423,0.340767,-0.001533,-0.4392,1,0.3333
ladder,slot_waste_rate,Wasted reserved slots,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.584933,0.5893,0.004367,0.7603,1,0.3333
ladder,no_offer_rate,Demands with no offer,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.014467,0.019333,0.004867,31.4142,1,0.3333
ladder,abandon_rate,Abandoned searches,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.009067,0.0149,0.005833,127.171,0,0.0
ladder,request_rejection_rate,Unserved demands,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.014467,0.019333,0.004867,31.4142,1,0.3333
ladder,nb_station_level_rejections,Rejected demands,down,,3,Cross-station adaptation,multistation_rep,bramev,3,216.333333,286.333333,70.0,43.0165,0,0.0
ladder,station_rejection_rate,Station rejection rate,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.1804,0.222667,0.042267,35.2196,0,0.0
ladder,total_ms_mean,End-to-end latency,down,ms,3,Cross-station adaptation,multistation_rep,bramev,3,516.426,513.328667,-3.097333,-0.7798,2,0.6667
ladder,wall_time_s,Wall time,down,s,3,Cross-station adaptation,multistation_rep,bramev,3,44.224667,43.955333,-0.269333,-1.0674,2,0.6667
variant,exact_satisfaction,Exact satisfaction,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.751467,0.7477,-0.003767,-0.5637,1,0.3333
variant,needs_satisfaction,Needs satisfied,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.763967,0.760967,-0.003,-0.4411,1,0.3333
variant,confirm_rate,Confirmation rate,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.980667,0.9832,0.002533,0.264,2,0.6667
variant,mean_waiting_time_min,Mean waiting time,down,min,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,21.026,21.086,0.06,-0.9736,1,0.3333
variant,mean_travel_distance_km,Mean distance,down,km,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.720633,0.7404,0.019767,2.8412,0,0.0
variant,rate_pres,Show-up rate,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.412233,0.412033,-0.0002,-0.0533,1,0.3333
variant,rate_abs,No-show rate,down,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.2196,0.222533,0.002933,1.2998,0,0.0
variant,nb_no_show,No-shows,down,,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,94.666667,95.0,0.333333,0.3472,0,0.0
variant,nb_reservations,Confirmed reservations,up,,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,431.666667,427.666667,-4.0,-0.9362,0,0.0
variant,mean_occupancy_rate,Occupancy rate,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.826033,0.822567,-0.003467,-0.441,1,0.3333
variant,mean_service_rate,Service rate,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.340767,0.3396,-0.001167,-0.3321,1,0.3333
variant,slot_waste_rate,Wasted reserved slots,down,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.5893,0.587433,-0.001867,-0.3173,2,0.6667
variant,no_offer_rate,Demands with no offer,down,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.019333,0.0168,-0.002533,1.5713,2,0.6667
variant,abandon_rate,Abandoned searches,down,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.0149,0.012133,-0.002767,-18.1824,2,0.6667
variant,request_rejection_rate,Unserved demands,down,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.019333,0.0168,-0.002533,1.5713,2,0.6667
variant,nb_station_level_rejections,Rejected demands,down,,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,286.333333,250.0,-36.333333,-10.5754,2,0.6667
variant,station_rejection_rate,Station rejection rate,down,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.222667,0.201533,-0.021133,-8.8587,2,0.6667
variant,total_ms_mean,End-to-end latency,down,ms,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,513.328667,529.894333,16.565667,2.6378,0,0.0
variant,wall_time_s,Wall time,down,s,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,43.955333,44.773,0.817667,1.7453,1,0.3333
variant,exact_satisfaction,Exact satisfaction,up,%,0,Duration-weighted score,bramev,bramev_event_score,3,0.751467,0.754533,0.003067,0.4248,2,0.6667
variant,needs_satisfaction,Needs satisfied,up,%,0,Duration-weighted score,bramev,bramev_event_score,3,0.763967,0.766433,0.002467,0.3494,2,0.6667
variant,confirm_rate,Confirmation rate,up,%,0,Duration-weighted score,bramev,bramev_event_score,3,0.980667,0.983533,0.002867,0.2952,2,0.6667
variant,mean_waiting_time_min,Mean waiting time,down,min,0,Duration-weighted score,bramev,bramev_event_score,3,21.026,22.18,1.154,4.7386,0,0.0
variant,mean_travel_distance_km,Mean distance,down,km,0,Duration-weighted score,bramev,bramev_event_score,3,0.720633,0.727767,0.007133,0.979,1,0.3333
variant,rate_pres,Show-up rate,up,%,0,Duration-weighted score,bramev,bramev_event_score,3,0.412233,0.4104,-0.001833,-0.441,0,0.0
variant,rate_abs,No-show rate,down,%,0,Duration-weighted score,bramev,bramev_event_score,3,0.2196,0.221767,0.002167,1.0166,0,0.0
variant,nb_no_show,No-shows,down,,0,Duration-weighted score,bramev,bramev_event_score,3,94.666667,95.666667,1.0,1.0866,0,0.0
variant,nb_reservations,Confirmed reservations,up,,0,Duration-weighted score,bramev,bramev_event_score,3,431.666667,432.0,0.333333,0.0613,1,0.3333
variant,mean_occupancy_rate,Occupancy rate,up,%,0,Duration-weighted score,bramev,bramev_event_score,3,0.826033,0.828333,0.0023,0.2777,2,0.6667
variant,mean_service_rate,Service rate,up,%,0,Duration-weighted score,bramev,bramev_event_score,3,0.340767,0.339667,-0.0011,-0.3215,0,0.0
variant,slot_waste_rate,Wasted reserved slots,down,%,0,Duration-weighted score,bramev,bramev_event_score,3,0.5893,0.591567,0.002267,0.3847,0,0.0
variant,no_offer_rate,Demands with no offer,down,%,0,Duration-weighted score,bramev,bramev_event_score,3,0.019333,0.016467,-0.002867,-8.0318,2,0.6667
variant,abandon_rate,Abandoned searches,down,%,0,Duration-weighted score,bramev,bramev_event_score,3,0.0149,0.009767,-0.005133,-31.7417,2,0.6667
variant,request_rejection_rate,Unserved demands,down,%,0,Duration-weighted score,bramev,bramev_event_score,3,0.019333,0.016467,-0.002867,-8.0318,2,0.6667
variant,nb_station_level_rejections,Rejected demands,down,,0,Duration-weighted score,bramev,bramev_event_score,3,286.333333,236.333333,-50.0,-15.6665,2,0.6667
variant,station_rejection_rate,Station rejection rate,down,%,0,Duration-weighted score,bramev,bramev_event_score,3,0.222667,0.194867,-0.0278,-12.7861,2,0.6667
variant,total_ms_mean,End-to-end latency,down,ms,0,Duration-weighted score,bramev,bramev_event_score,3,513.328667,507.712,-5.616667,-2.7328,1,0.3333
variant,wall_time_s,Wall time,down,s,0,Duration-weighted score,bramev,bramev_event_score,3,43.955333,43.435333,-0.52,-1.9658,2,0.6667
baseline,exact_satisfaction,Exact satisfaction,up,%,0,Load-Aware,load_aware,bramev,3,0.778867,0.751467,-0.0274,-3.4382,0,0.0
baseline,needs_satisfaction,Needs satisfied,up,%,0,Load-Aware,load_aware,bramev,3,0.7887,0.763967,-0.024733,-3.075,0,0.0
baseline,confirm_rate,Confirmation rate,up,%,0,Load-Aware,load_aware,bramev,3,0.9839,0.980667,-0.003233,-0.3272,2,0.6667
baseline,mean_waiting_time_min,Mean waiting time,down,min,0,Load-Aware,load_aware,bramev,3,15.418,21.026,5.608,65.3866,0,0.0
baseline,mean_travel_distance_km,Mean distance,down,km,0,Load-Aware,load_aware,bramev,3,0.819267,0.720633,-0.098633,-11.8213,3,1.0
baseline,rate_pres,Show-up rate,up,%,0,Load-Aware,load_aware,bramev,3,0.4117,0.412233,0.000533,0.1333,2,0.6667
baseline,rate_abs,No-show rate,down,%,0,Load-Aware,load_aware,bramev,3,0.2183,0.2196,0.0013,0.7616,1,0.3333
baseline,nb_no_show,No-shows,down,,0,Load-Aware,load_aware,bramev,3,93.0,94.666667,1.666667,1.8796,0,0.0
baseline,nb_reservations,Confirmed reservations,up,,0,Load-Aware,load_aware,bramev,3,427.333333,431.666667,4.333333,1.1263,2,0.6667
baseline,mean_occupancy_rate,Occupancy rate,up,%,0,Load-Aware,load_aware,bramev,3,0.8459,0.826033,-0.019867,-2.3416,0,0.0
baseline,mean_service_rate,Service rate,up,%,0,Load-Aware,load_aware,bramev,3,0.3417,0.340767,-0.000933,-0.2716,0,0.0
baseline,slot_waste_rate,Wasted reserved slots,down,%,0,Load-Aware,load_aware,bramev,3,0.596533,0.5893,-0.007233,-1.2052,3,1.0
