kind,scenario,nb_cars,world_seed,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
ladder,pessimistic,150,1,mean_occupancy_rate,Occupancy rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.8841,0.8691,-0.015,-1.6966,False
ladder,pessimistic,150,1,mean_service_rate,Service rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.3605,0.3601,-0.0004,-0.111,False
ladder,pessimistic,150,1,slot_waste_rate,Wasted reserved slots,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.5941,0.5906,-0.0035,-0.5891,True
ladder,pessimistic,150,1,no_offer_rate,Demands with no offer,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.0115,0.0162,0.0047,40.8696,False
ladder,pessimistic,150,1,abandon_rate,Abandoned searches,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.0023,0.0093,0.007,304.3478,False
ladder,pessimistic,150,1,request_rejection_rate,Unserved demands,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.0115,0.0162,0.0047,40.8696,False
ladder,pessimistic,150,1,nb_station_level_rejections,Rejected demands,down,,3,Cross-station adaptation,multistation_rep,bramev,78.0,143.0,65.0,83.3333,False
ladder,pessimistic,150,1,station_rejection_rate,Station rejection rate,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.062,0.1088,0.0468,75.4839,False
ladder,pessimistic,150,1,total_ms_mean,End-to-end latency,down,ms,3,Cross-station adaptation,multistation_rep,bramev,644.836,672.373,27.537,4.2704,False
ladder,pessimistic,150,1,wall_time_s,Wall time,down,s,3,Cross-station adaptation,multistation_rep,bramev,54.937,56.948,2.011,3.6606,False
ladder,pessimistic,150,2,exact_satisfaction,Exact satisfaction,up,%,1,Multi-station search,greedy,multistation,0.6349,0.7724,0.1375,21.657,True
ladder,pessimistic,150,2,needs_satisfaction,Needs satisfied,up,%,1,Multi-station search,greedy,multistation,0.6474,0.7859,0.1385,21.3933,True
ladder,pessimistic,150,2,confirm_rate,Confirmation rate,up,%,1,Multi-station search,greedy,multistation,0.9327,0.9833,0.0506,5.4251,True
ladder,pessimistic,150,2,mean_waiting_time_min,Mean waiting time,down,min,1,Multi-station search,greedy,multistation,36.612,14.4,-22.212,-60.6686,True
ladder,pessimistic,150,2,mean_travel_distance_km,Mean distance,down,km,1,Multi-station search,greedy,multistation,0.6442,0.7076,0.0634,9.8417,False
ladder,pessimistic,150,2,rate_pres,Show-up rate,up,%,1,Multi-station search,greedy,multistation,0.4098,0.3995,-0.0103,-2.5134,False
ladder,pessimistic,150,2,rate_abs,No-show rate,down,%,1,Multi-station search,greedy,multistation,0.2448,0.2494,0.0046,1.8791,False
ladder,pessimistic,150,2,nb_no_show,No-shows,down,,1,Multi-station search,greedy,multistation,95.0,103.0,8.0,8.4211,False
ladder,pessimistic,150,2,nb_reservations,Confirmed reservations,up,,1,Multi-station search,greedy,multistation,388.0,413.0,25.0,6.4433,True
ladder,pessimistic,150,2,mean_occupancy_rate,Occupancy rate,up,%,1,Multi-station search,greedy,multistation,0.6936,0.807,0.1134,16.3495,True
ladder,pessimistic,150,2,mean_service_rate,Service rate,up,%,1,Multi-station search,greedy,multistation,0.2805,0.3251,0.0446,15.9002,True
