kind,scenario,nb_cars,metric,metric_label,goal,unit,step,component,from_method,to_method,nb_pairs,seeds,mean_value_from,mean_value_to,mean_delta,sd_delta,sem_delta,ci95_low,ci95_high,mean_delta_pct,t_stat,p_value,significant_95,nb_improved,share_improved,verdict
ladder,pessimistic,150,mean_waiting_time_min,Mean waiting time,down,min,2,Reputation,multistation,multistation_rep,3,1|2|3,20.56,21.13,0.57,1.037792,0.599169,-2.008018,3.148018,1.533,0.9513,0.441849,False,1,0.3333,ns
ladder,pessimistic,150,mean_travel_distance_km,Mean distance,down,km,2,Reputation,multistation,multistation_rep,3,1|2|3,0.7271,0.7332,0.0061,0.02217,0.0128,-0.048975,0.061175,0.8189,0.4766,0.680666,False,1,0.3333,ns
ladder,pessimistic,150,rate_pres,Show-up rate,up,%,2,Reputation,multistation,multistation_rep,3,1|2|3,0.410667,0.412867,0.0022,0.004327,0.002498,-0.008548,0.012948,0.5357,0.8807,0.471374,False,2,0.6667,ns
ladder,pessimistic,150,rate_abs,No-show rate,down,%,2,Reputation,multistation,multistation_rep,3,1|2|3,0.2203,0.219067,-0.001233,0.003386,0.001955,-0.009644,0.007177,-0.4889,-0.6309,0.592569,False,2,0.6667,ns
ladder,pessimistic,150,nb_no_show,No-shows,down,,2,Reputation,multistation,multistation_rep,3,1|2|3,95.333333,94.0,-1.333333,0.57735,0.333333,-2.767551,0.100884,-1.3776,-4.0,0.057191,False,3,1.0,ns
ladder,pessimistic,150,nb_reservations,Confirmed reservations,up,,2,Reputation,multistation,multistation_rep,3,1|2|3,434.0,430.0,-4.0,5.196152,3.0,-16.907958,8.907958,-0.8844,-1.3333,0.314006,False,0,0.0,ns
ladder,pessimistic,150,mean_occupancy_rate,Occupancy rate,up,%,2,Reputation,multistation,multistation_rep,3,1|2|3,0.832333,0.8235,-0.008833,0.009979,0.005761,-0.033622,0.015955,-1.1021,-1.5333,0.264935,False,1,0.3333,ns
ladder,pessimistic,150,mean_service_rate,Service rate,up,%,2,Reputation,multistation,multistation_rep,3,1|2|3,0.336667,0.3423,0.005633,0.004944,0.002854,-0.006648,0.017915,1.7066,1.9735,0.187152,False,3,1.0,ns
ladder,pessimistic,150,slot_waste_rate,Wasted reserved slots,down,%,2,Reputation,multistation,multistation_rep,3,1|2|3,0.595333,0.584933,-0.0104,0.011064,0.006388,-0.037884,0.017084,-1.7415,-1.6281,0.245041,False,3,1.0,ns
ladder,pessimistic,150,no_offer_rate,Demands with no offer,down,%,2,Reputation,multistation,multistation_rep,3,1|2|3,0.018767,0.014467,-0.0043,0.002291,0.001323,-0.009992,0.001392,-22.9238,-3.2505,0.083028,False,3,1.0,ns
