scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_rejected_request,nb_station_requests,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
optimistic,150,bramev,42,42,42,40,4,1440,630.434,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.8904,0.9115,150,0.33,0.684,1377,1262,1262,0.9165,0.9165,4.775,438.222,3111.098,1601.537,641.966,0.012,3753.076,1667.176,1.0,75.73,1262,953,118,3,187,0,1,0.7552,0.0935,0.0024,0.1482,0.7559,0.0935,0.0903,0.0602,111,0.311,6575,5313,0,0,1834,8409,0.1646,0.1191,45352,32817,0.2764,1997.366,1,1,True
optimistic,150,bramev_nearest_offer,42,42,42,40,4,1440,620.929,BRAM-EV / offre la plus proche,variant,True,True,True,nearest,sampled,society,duration,0.8781,0.9041,150,0.3246,3.378,1381,1269,1269,0.9189,0.9189,4.706,431.614,3069.358,1656.324,640.39,0.012,3709.76,1775.829,1.0,73.538,1269,955,119,8,184,0,3,0.7526,0.0938,0.0063,0.145,0.7549,0.0938,0.0922,0.0591,109,0.905,6499,5230,0,0,1977,8476,0.1641,0.119,45007,32599,0.2757,1982.709,1,1,True
optimistic,150,bramev_fixed_alpha,42,42,42,40,4,1440,619.888,BRAM-EV / alpha fixe,variant,True,True,True,utility,fixed,society,duration,0.8902,0.9116,150,0.3348,0.552,1377,1258,1258,0.9136,0.9136,4.757,432.344,3074.127,1484.015,634.825,0.012,3708.965,1583.772,1.0,74.115,1258,950,118,1,189,0,0,0.7552,0.0938,0.0008,0.1502,0.7552,0.0938,0.0914,0.0596,114,0.269,6550,5292,0,0,1842,8392,0.1642,0.1186,45247,32697,0.2774,1991.523,1,1,True
optimistic,150,bramev_global_rep,42,42,42,40,4,1440,828.93,BRAM-EV / réputation globale,variant,True,True,True,utility,sampled,global,duration,0.7154,0.7325,150,0.2983,0.432,5102,974,974,0.1909,0.1909,1.166,537.109,4067.892,2069.992,810.582,0.015,4878.489,2212.438,1.0,51.625,974,731,92,4,147,0,0,0.7505,0.0945,0.0041,0.1509,0.7505,0.0945,0.0945,0.0606,88,0.262,5951,4977,0,0,23730,29681,0.1249,0.0895,33964,24382,0.2821,1517.875,38,1,True
optimistic,150,bramev_event_score,42,42,42,40,4,1440,601.239,BRAM-EV / score par événement,variant,True,True,True,utility,sampled,society,event,0.8932,0.9144,150,0.3203,0.558,1275,1271,1271,0.9969,0.9969,5.674,408.345,3033.597,1565.016,619.592,0.012,3653.201,1629.138,1.0,76.37,1271,957,120,1,192,0,1,0.753,0.0944,0.0008,0.1511,0.7537,0.0944,0.0921,0.0598,116,0.277,7234,5963,0,0,591,7825,0.1658,0.119,45564,32838,0.2793,2005.335,0,1,True
optimistic,200,bramev,42,42,42,40,4,1440,1992.02,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.8864,0.9082,200,0.3477,1.164,1799,1689,1689,0.9389,0.9389,4.771,4862.241,17843.84,2215.974,3111.965,0.011,20955.816,2397.735,1.0,225.012,1689,1262,160,7,255,1,4,0.7472,0.0947,0.0041,0.151,0.7496,0.0953,0.0906,0.0645,146,0.452,8583,6894,0,0,2313,10896,0.2162,0.1548,59869,42850,0.2843,2663.7,2,1,True
optimistic,200,bramev_nearest_offer,42,42,42,40,4,1440,1974.888,BRAM-EV / offre la plus proche,variant,True,True,True,nearest,sampled,society,duration,0.8405,0.8819,200,0.3273,11.232,1863,1732,1732,0.9297,0.9297,4.724,4711.481,17317.729,1789.865,3035.141,0.011,20352.881,2014.018,1.0,208.872,1732,1294,163,25,247,2,1,0.7471,0.0941,0.0144,0.1426,0.7477,0.0953,0.0918,0.0652,134,2.522,8801,7069,0,3,2540,11341,0.2176,0.1569,59400,42642,0.2821,2638.34,3,0,True
optimistic,200,bramev_fixed_alpha,42,42,42,40,4,1440,1992.259,BRAM-EV / alpha fixe,variant,True,True,True,utility,fixed,society,duration,0.8874,0.909,200,0.3544,1.092,1803,1694,1694,0.9395,0.9395,4.748,4828.511,17776.851,2536.585,3104.898,0.012,20881.761,2928.753,1.0,224.452,1694,1270,161,5,257,1,0,0.7497,0.095,0.003,0.1517,0.7497,0.0956,0.0903,0.0643,148,0.446,8561,6867,0,0,2347,10908,0.2167,0.1553,60068,42995,0.2842,2672.258,2,1,True
optimistic,200,bramev_global_rep,42,42,42,40,4,1440,2255.031,BRAM-EV / réputation globale,variant,True,True,True,utility,sampled,global,duration,0.713,0.7335,200,0.3024,1.146,6765,1308,1308,0.1933,0.1933,1.191,6203.371,23074.411,2800.681,3994.218,0.015,27068.643,3190.525,1.0,126.103,1308,966,126,1,211,1,3,0.7385,0.0963,0.0008,0.1613,0.7408,0.0971,0.094,0.068,122,0.417,8057,6749,0,0,31447,39504,0.165,0.1164,45136,31903,0.2932,2041.652,51,1,True
optimistic,200,bramev_event_score,42,42,42,40,4,1440,2000.745,BRAM-EV / score par événement,variant,True,True,True,utility,sampled,society,event,0.8883,0.9117,200,0.3305,1.416,1718,1708,1708,0.9942,0.9942,5.66,4795.434,17724.94,2858.672,3059.266,0.012,20784.218,3013.041,1.0,229.713,1708,1279,162,4,262,1,0,0.7488,0.0948,0.0023,0.1534,0.7488,0.0954,0.0907,0.065,151,0.493,9724,8016,0,0,772,10496,0.2191,0.1569,60455,43226,0.285,2689.44,1,1,True
optimistic,250,bramev,42,42,42,40,4,1440,4826.295,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.8822,0.9074,250,0.3571,2.166,2224,2101,2101,0.9447,0.9447,4.848,12142.595,57881.853,2336.838,6278.313,0.011,64160.177,2528.076,1.0,393.796,2101,1584,200,8,301,2,6,0.7539,0.0952,0.0038,0.1433,0.7563,0.0961,0.0857,0.0619,171,0.675,10781,8680,0,2,2634,13415,0.2696,0.1941,74558,53709,0.2796,3303.342,3,1,True
