scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,search_retries,nb_offers,confirmed,abandoned,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,150,bramev_fixed_alpha,1,1,1,t00000-c00000,0,0,3,0,3,True,False,1,2123.864167020656,3362.203042022884,3508.7251670192927,0.01595797948539257,6870.944167021662
pessimistic,150,bramev_fixed_alpha,1,1,1,t00000-c00008,8,0,3,1,3,True,False,1,7233.776540961117,7766.071958001703,0.018749968148767948,0.014582998119294643,7766.105290967971
pessimistic,150,bramev_fixed_alpha,1,1,1,t00000-c00010,10,0,3,1,3,True,False,1,7233.752749976702,7766.0481670172885,0.11058303061872721,0.005958951078355312,7766.164708998986
pessimistic,150,bramev_fixed_alpha,1,1,1,t00000-c00032,32,0,4,0,4,True,False,1,1044.6219999575987,5766.683458001353,1104.2595419567078,0.0069160014390945435,6870.9499159595
pessimistic,150,bramev_fixed_alpha,1,1,1,t00000-c00038,38,0,2,0,2,True,False,1,2123.766208998859,6870.811750064604,0.1437920145690441,0.004207948222756386,6870.959750027396
pessimistic,150,bramev_fixed_alpha,1,1,1,t00000-c00040,40,0,2,0,2,True,False,1,6157.78704197146,6870.792916975915,0.17983303405344486,0.0038329744711518288,6870.97658298444
pessimistic,150,bramev_fixed_alpha,1,1,1,t00000-c00047,47,0,6,2,6,True,False,1,7787.568708066829,8056.356667075306,0.09137496817857027,0.0071249669417738914,8056.4551670104265
pessimistic,150,bramev_fixed_alpha,1,1,1,t00000-c00058,58,0,4,0,4,True,False,1,2123.708082945086,6870.754417032003,0.20129093900322914,0.003834022209048271,6870.959541993216
pessimistic,150,bramev_fixed_alpha,1,1,1,t00000-c00062,62,0,2,0,2,True,False,1,3076.641333056614,5766.585499979556,1104.369958047755,0.0030419323593378067,6870.95849995967
pessimistic,150,bramev_fixed_alpha,1,1,1,t00000-c00064,64,0,3,0,3,True,False,1,486.15145904477686,3786.0956670483574,3084.8573750117794,0.0034170225262641907,6870.956459082663
pessimistic,150,bramev_fixed_alpha,1,1,1,t00000-c00066,66,0,2,0,2,True,False,1,1778.417749912478,2485.3211669251323,4385.629832977429,0.00300002284348011,6870.953999925405
pessimistic,150,bramev_fixed_alpha,1,1,1,t00000-c00076,76,0,4,0,4,True,False,1,1044.4674589671195,5766.52937498875,1104.4189999811351,0.003459048457443714,6870.951834018342
