scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,search_retries,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,20,min_waiting,42,42,42,t00000-c00008,8,0,2,0,2,True,1,59.389582951553166,111.50091700255871,0.019665982108563185,0.014666991773992777,111.53524997644126
pessimistic,20,min_waiting,42,42,42,t00011-c00019,19,11,3,0,3,True,1,40.15479102963582,108.5082910140045,0.014459015801548958,0.011999974958598614,108.53475000476465
pessimistic,20,min_waiting,42,42,42,t00012-c00019,19,12,3,0,3,True,1,69.25000000046566,184.25916699925438,0.014083052519708872,0.012083968613296747,184.28533402038738
pessimistic,20,min_waiting,42,42,42,t00021-c00005,5,21,1,0,1,True,1,11.152916005812585,11.152916005812585,0.005999987479299307,0.00708398874849081,11.165999982040375
pessimistic,20,min_waiting,42,42,42,t00030-c00016,16,30,2,0,2,True,1,53.33412496838719,84.83287499984726,0.01454097218811512,0.012042000889778137,84.85945797292516
pessimistic,20,min_waiting,42,42,42,t00031-c00016,16,31,2,0,2,True,1,52.716749953106046,87.14566699927673,0.01699995482340455,0.014041026588529348,87.17670798068866
pessimistic,20,min_waiting,42,42,42,t00038-c00010,10,38,3,0,3,True,1,34.455667017027736,109.5142500125803,0.011458003427833319,0.011500029359012842,109.53720804536715
pessimistic,20,min_waiting,42,42,42,t00039-c00005,5,39,1,0,1,True,1,411.3545000436716,411.3545000436716,0.011124997399747372,0.010249961633235216,411.37587500270456
pessimistic,20,min_waiting,42,42,42,t00039-c00010,10,39,3,0,3,True,1,131.12387497676536,399.76637496147305,11.67804200667888,0.006499991286545992,411.4509169594385
pessimistic,20,min_waiting,42,42,42,t00039-c00014,14,39,3,0,3,True,1,66.10441696830094,348.36245799669996,63.094249984715134,0.004417030140757561,411.46112501155585
pessimistic,20,min_waiting,42,42,42,t00041-c00005,5,41,1,0,1,True,1,14.055541949346662,14.055541949346662,0.012458011042326689,0.006792019121348858,14.074791979510337
pessimistic,20,min_waiting,42,42,42,t00045-c00002,2,45,3,0,3,True,1,28.01608300069347,109.39704201882705,0.010583025868982077,0.010791991371661425,109.4184170360677
pessimistic,20,min_waiting,42,42,42,t00050-c00007,7,50,1,0,1,True,1,39.796290977392346,39.796290977392346,0.007417052984237671,0.009791983757168055,39.81350001413375
pessimistic,20,min_waiting,42,42,42,t00050-c00013,13,50,1,0,1,True,1,39.7702920017764,39.7702920017764,0.061207974795252085,0.004334026016294956,39.835834002587944
pessimistic,20,min_waiting,42,42,42,t00051-c00007,7,51,1,0,1,True,1,75.4899579915218,75.4899579915218,0.008791976142674685,0.008374976459890604,75.50712494412437
pessimistic,20,min_waiting,42,42,42,t00051-c00013,13,51,1,0,1,True,1,75.46566700330004,75.46566700330004,0.057541998103260994,0.004832982085645199,75.52804198348895
pessimistic,20,min_waiting,42,42,42,t00058-c00001,1,58,1,0,1,True,1,39.326958009041846,39.326958009041846,0.007207971066236496,0.008333998266607523,39.34249997837469
pessimistic,20,min_waiting,42,42,42,t00060-c00003,3,60,1,0,1,True,1,64.24362497637048,64.24362497637048,0.008417002391070127,0.008292030543088913,64.26033400930464
pessimistic,20,min_waiting,42,42,42,t00061-c00012,12,61,4,0,4,True,1,30.02733300672844,86.84820798225701,0.013458018656820059,0.009459035936743021,86.87112503685057
pessimistic,20,min_waiting,42,42,42,t00085-c00006,6,85,1,0,1,True,1,20.972999976947904,20.972999976947904,0.00500003807246685,0.006124959327280521,20.98412497434765
pessimistic,20,min_waiting,42,42,42,t00089-c00018,18,89,1,0,1,True,1,33.13445899402723,33.13445899402723,0.00562501372769475,0.006249989382922649,33.146333997137845
pessimistic,20,min_waiting,42,42,42,t00095-c00000,0,95,3,0,3,True,1,83.77645805012435,153.8666250417009,0.009665964171290398,0.00908400397747755,153.88537500984967
pessimistic,20,min_waiting,42,42,42,t00095-c00018,18,95,1,0,1,True,1,36.212165956385434,36.212165956385434,117.6965840277262,0.004915986210107803,153.91366597032174
pessimistic,20,min_waiting,42,42,42,t00101-c00014,14,101,2,0,2,True,1,46.36845801724121,78.33979098359123,0.008209026418626308,0.007499998901039362,78.3555000089109
pessimistic,20,min_waiting,42,42,42,t00102-c00014,14,102,2,0,2,True,1,88.51450000656769,147.3947920021601,0.011124997399747372,0.009540992323309183,147.41545799188316
pessimistic,20,min_waiting,42,42,42,t00103-c00014,14,103,3,0,3,True,1,126.0639590327628,336.7075000423938,0.01370901009067893,0.01133297337219119,336.7325420258567
pessimistic,20,min_waiting,42,42,42,t00104-c00014,14,104,3,0,3,True,1,111.67833296349272,297.1825419808738,0.013499986380338669,0.011625001206994057,297.2076669684611
pessimistic,20,min_waiting,42,42,42,t00107-c00001,1,107,1,0,1,True,1,77.53924996359274,77.53924996359274,0.007167051080614328,0.008416944183409214,77.55483395885676
pessimistic,20,min_waiting,42,42,42,t00107-c00009,9,107,1,0,1,True,1,50.56312499800697,50.56312499800697,27.021999994758517,0.00466697383671999,77.5897919666022
pessimistic,20,min_waiting,42,42,42,t00108-c00001,1,108,1,0,1,True,1,23.531415965408087,23.531415965408087,0.005667039658874273,0.006916990969330072,23.54399999603629
pessimistic,20,min_waiting,42,42,42,t00109-c00001,1,109,1,0,1,True,1,40.560124965850264,40.560124965850264,0.005958019755780697,0.006916990969330072,40.572999976575375
pessimistic,20,min_waiting,42,42,42,t00111-c00001,1,111,3,0,3,True,1,71.81541697354987,182.8031669720076,0.0118750031106174,0.010292045772075653,182.8253340208903
pessimistic,20,min_waiting,42,42,42,t00117-c00015,15,117,1,0,1,True,1,18.36241700220853,18.36241700220853,0.005917041562497616,0.0072499969974160194,18.375584040768445
pessimistic,20,min_waiting,42,42,42,t00118-c00015,15,118,2,0,2,True,1,26.98062499985099,39.80991698335856,0.008874980267137289,0.0075830030255019665,39.8263749666512
pessimistic,20,min_waiting,42,42,42,t00120-c00011,11,120,1,0,1,True,1,41.02716699708253,41.02716699708253,0.006332993507385254,0.007166992872953415,41.04066698346287
pessimistic,20,min_waiting,42,42,42,t00121-c00015,15,121,1,0,1,True,1,16.662249981891364,16.662249981891364,0.005458015948534012,0.006709014996886253,16.674417012836784
